director,award
Coen Brothers,oscar
Martin Scorsese,oscar
Mike Nichols,oscar
Warren Beatty,oscar
Peter Jackson,oscar
Robert Zemeckis,oscar
Alfonso Cuaron,oscar
David Lean,oscar
Danny Boyle,oscar
Anthony Minghella,oscar
Milos Forman,oscar
Bong Joon-ho,oscar
Guillermo Del Toro,oscar
William Friedkin,oscar
Francis Ford Coppola,oscar
Bob Fosse,oscar
Michael Bay,razzie
Tom Green,razzie
Michael Cimino,razzie
Sylvester Stallone,razzie
Kevin Costner,razzie
Tom Hooper,razzie
Guy Ritchie,razzie
Prince,razzie
Martin Brest,razzie
Dennis Dugan,razzie
Bill Condon,razzie
Peter Farrelly,razzie
Gus Van Sant,razzie
Barry Sonnenfeld,razzie
Elaine May,razzie
Blake Edwards,razzie
